Headline,Description,Time,Category
Salah laps up contract acclaim - now Van Dijk may follow 'next week',Mohamed Salah's goal and assist numbers show his worth to Liverpool as he sets the record for a 38-game Premier League season.,11 hrs ago,Liverpool
Australia's looming election brings housing crisis into focus,"Australia's housing crisis has hit its worst point in decades, becoming a key issue in the upcoming election.",2 hrs ago,Australia
Severe floods hit Lanzarote after torrential rain,A state of emergency was declared in the Spanish Canary Island after 6cm (2.4in) of water fell in two hours on Saturday.,12 hrs ago,Europe
How industry leaders transformed their career,The BBC's Katty Kay has spoken to successful change-makers to ask what made them pivot in their career.,17 Jan 2024,Work Culture
"Relatives charged after boy, nine, killed in accidental shooting","Two people, including a teenager, were arrested in relation to the incident.",1 hr ago,Australia
'Pretty diabolical' - What Australians think of the housing crisis this election,The BBC spoke to people in Sydney about Australia's housing crisis and what they'd like to see politicians to do help.,1 hr ago,Australia
Four simple hacks to succeed in every conversation,"A career coach, a choreographer, a chef and a dragon boat captain offer advice on giving critical feedback.",15 Nov 2023,Work Culture
US coffee shops worried about bitter price hike after tariffs,"Higher prices are worrying independent US coffee shops, which import almost all their beans.",2 days ago,US & Canada
Ecuador's President Daniel Noboa wins re-election,"The sitting president's challenger in the closely fought race, Luisa González, has claimed fraud without producing evidence.",54 mins ago,Latin America
ASMR: How whispering took over the internet,We meet the creators behind the current ASMR boom.,4 Jan 2023,Work Culture
Australia's looming election brings housing crisis into focus,"Australia's housing crisis has hit its worst point in decades, becoming a key issue in the upcoming election.",2 hrs ago,Australia
General strike hits transport in Argentina,President Javier Milei has made sweeping cuts to public services since he took office 16 months ago.,3 days ago,Latin America
Will trade-shy India gain edge in tariff-driven slowdown?,India's trade detachment may cushion it as others scramble to adjust to Trump’s 90-day tariff pause.,3 days ago,Asia
Hundreds of flights cancelled in China as strong winds hit capital,"State media outlets earlier warned that people weighing less than 50kg may be ""easily blown away"".",2 days ago,Asia
Investors facing tariff turmoil: 'It's fastest finger first',Traders are trying to reckon with impact of Trump's shifting tariff policy.,3 days ago,Business
Australia's looming election brings housing crisis into focus,"Australia's housing crisis has hit its worst point in decades, becoming a key issue in the upcoming election.",3 hrs ago,Australia
US coffee shops worried about bitter price hike after tariffs,"Higher prices are worrying independent US coffee shops, which import almost all their beans.",2 days ago,US & Canada
"The Last of Us is back, and Indiana Jones launches on PS5: What's coming up this week","Warfare is also coming out, while new game Indiana Jones and the Great Circle is released.",12 hrs ago,Culture
McIlroy beats Rose in Masters play-off to seal career Grand Slam,Rory McIlroy achieves golfing immortality as he beats Justin Rose in a sudden-death play-off to finally win his first Masters title and complete the career Grand Slam in a hugely dramatic final round at Augusta National.,4 hrs ago,Golf
Do the super-rich 'deserve' their wealth?,Should there be a cap on billionaires' wealth and their inheritances?,15 Nov 2023,Future of business
Why Beijing is not backing down on tariffs,"Amid a trade war with the US, our China correspondent explains why Beijing doesn't need to change tactics.",3 days ago,World
"The Last of Us is back, and Indiana Jones launches on PS5: What's coming up this week","Warfare is also coming out, while new game Indiana Jones and the Great Circle is released.",11 hrs ago,Culture
'We had to put a smile on his face' - Newcastle dedicate win to Howe,"Newcastle players and staff dedicate their crushing win over Manchester United to boss Eddie Howe, who missed the match as he is in hospital.",7 hrs ago,Newcastle
"The Last of Us is back, and Indiana Jones launches on PS5: What's coming up this week","Warfare is also coming out, while new game Indiana Jones and the Great Circle is released.",11 hrs ago,Culture
Commencement speech: The surprising pitfall of your passions,Students are graduating in the US this week. The commencement speeches might lead them into questionable choices.,15 Nov 2023,Future of business
Hundreds of flights cancelled in China as strong winds hit capital,"State media outlets earlier warned that people weighing less than 50kg may be ""easily blown away"".",2 days ago,Asia
"Relatives charged after boy, nine, killed in accidental shooting","Two people, including a teenager, were arrested in relation to the incident.",1 hr ago,Australia
Was China the reason Guyana faced higher Trump tariff?,"A Guyanese political commentator says Washington objects to Beijing's ""very strong foothold"" in the country.",4 hrs ago,Business
The curious case of why a billionaire wants to buy UK's Royal Mail,"From the end of April, the 500-year-old Royal Mail will be controlled by Czech billionaire Daniel Kretinsky who co-owns a football club - but why does he want it?",5 hrs ago,BBC InDepth
Bayindir's failed Man Utd audition offers Onana dilemma,Altay Bayindir failed his audition to become Manchester United's first choice goalkeeper after Andre Onana was dropped for the defeat by Newcastle.,8 hrs ago,Man Utd
Australia's looming election brings housing crisis into focus,"Australia's housing crisis has hit its worst point in decades, becoming a key issue in the upcoming election.",2 hrs ago,Australia
MP barred from Hong Kong says it was to 'shut me up',"The MP for Bath says she was given no reason for being refused entry, and wants ""some answers"".",11 hrs ago,Asia
Veterinarian suicide rates are very high. Why?,Veterinarian professionals are committing suicide at a higher rate than the general population.,14 Nov 2023,Work Culture
Was China the reason Guyana faced higher Trump tariff?,"A Guyanese political commentator says Washington objects to Beijing's ""very strong foothold"" in the country.",4 hrs ago,Business
